Week,Name,Pos,Team,Opp,Projected,Actual
13,Ja'Marr Chase,WR,CIN,JAX,15.4,31.62
13,Christian McCaffrey,RB,SF,PHI,23,22.3
13,Austin Ekeler,RB,LAC,NE,17.9,4.7
13,Travis Kelce,TE,KC,GB,15.8,12.1
13,Tyreek Hill,WR,MIA,WAS,23.5,32.3
13,Bijan Robinson,RB,ATL,NYJ,15.2,10.9
13,Patrick Mahomes,QB,KC,GB,19,13
13,Cooper Kupp,WR,LAR,CLE,13.1,15.9
13,Tony Pollard,RB,DAL,SEA,17.3,17.3
13,CeeDee Lamb,WR,DAL,SEA,21.9,32.6
13,Garrett Wilson,WR,NYJ,ATL,15,8
13,A.J. Brown,WR,PHI,SF,18.3,19.4
13,Amon-Ra St. Brown,WR,DET,NO,19,12.9
13,Jalen Hurts,QB,PHI,SF,21.2,23.92
13,Joe Mixon,RB,CIN,JAX,14.4,29.7
13,DK Metcalf,WR,SEA,DAL,15.2,37.4
13,Jaylen Waddle,WR,MIA,WAS,15.3,10.2
13,Tee Higgins,WR,CIN,JAX,10.9,6.6
13,Travis Etienne Jr.,RB,JAX,CIN,16.8,17.9
13,Chris Olave,WR,NO,DET,16.5,16.9
13,Najee Harris,RB,PIT,ARI,13.1,9.7
13,DeVonta Smith,WR,PHI,SF,13.3,24.6
13,Jahmyr Gibbs,RB,DET,NO,16.3,6.4
13,Deebo Samuel,WR,SF,PHI,15.7,35.8
13,Calvin Ridley,WR,JAX,CIN,13.5,7.3
13,Keenan Allen,WR,LAC,NE,20.1,10.8
13,Justin Herbert,QB,LAC,NE,18.6,7.98
13,Christian Watson,WR,GB,KC,11.2,27.6
13,DeAndre Hopkins,WR,TEN,IND,13.2,18.9
13,Breece Hall,RB,NYJ,ATL,16.3,10.5
13,George Kittle,TE,SF,PHI,13.2,10.8
13,Alvin Kamara,RB,NO,DET,17.3,28.9
13,Rachaad White,RB,TB,CAR,15.6,19.6
13,Diontae Johnson,WR,PIT,ARI,11.9,13.3
13,Chris Godwin,WR,TB,CAR,11.8,7.9
13,James Conner,RB,ARI,PIT,12.2,22.5
13,Mike Evans,WR,TB,CAR,15,29.2
13,Terry McLaurin,WR,WAS,MIA,13.5,0
13,Tyler Lockett,WR,SEA,DAL,13.9,9.7
13,Javonte Williams,RB,DEN,HOU,13.1,10
13,Isiah Pacheco,RB,KC,GB,16.3,21.3
13,Brandon Aiyuk,WR,SF,PHI,15.5,15.6
13,Jerry Jeudy,WR,DEN,HOU,10.6,8.1
13,David Montgomery,RB,DET,NO,13.2,12.5
13,Drake London,WR,ATL,NYJ,10.4,1.8
13,Evan Engram,TE,JAX,CIN,11.8,23.2
13,Christian Kirk,WR,JAX,CIN,12.8,3.6
13,D'Andre Swift,RB,PHI,SF,14,4
13,Michael Pittman Jr.,WR,IND,TEN,16.4,27.5
13,Brandin Cooks,WR,DAL,SEA,10.7,16.5
13,Dak Prescott,QB,DAL,SEA,22.4,28.26
13,David Njoku,TE,CLE,LAR,12.9,3.7
13,Courtland Sutton,WR,DEN,HOU,13.4,15.7
13,A.J. Dillon,RB,GB,KC,11.9,9.7
13,Geno Smith,QB,SEA,DAL,14.8,29.96
13,Russell Wilson,QB,DEN,HOU,16.9,15.84
13,Tua Tagovailoa,QB,MIA,WAS,18.3,19.2
13,Sam Howell,QB,WAS,MIA,16.5,19.18
13,Matthew Stafford,QB,LAR,CLE,12.2,22.96
13,Jared Goff,QB,DET,NO,15.4,16.32
13,Jordan Love,QB,GB,KC,16.3,23.68
13,Baker Mayfield,QB,TB,CAR,16.3,9.88
13,Bryce Young,QB,CAR,TB,13,7.12
13,Brock Purdy,QB,SF,PHI,18.8,29.46
13,C.J. Stroud,QB,HOU,DEN,19.8,16.06
13,Desmond Ridder,QB,ATL,NYJ,12.4,8.84
13,Raheem Mostert,RB,MIA,WAS,11.3,12.1
13,Nico Collins,WR,HOU,DEN,15.1,34.1
13,Kyren Williams,RB,LAR,CLE,16.6,20.2
13,Zack Moss,RB,IND,TEN,16.4,7.7
13,Puka Nacua,WR,LAR,CLE,12.7,23.9
13,Gardner Minshew,QB,IND,TEN,13.7,18.68
13,Jerome Ford,RB,CLE,LAR,12.5,14.2
13,Jaylen Warren,RB,PIT,ARI,13.9,6.5
13,Jayden Reed,WR,GB,KC,10.2,5.6
13,De'Von Achane,RB,MIA,WAS,13.3,25.3
13,Adam Thielen,WR,CAR,TB,14.5,5.5
13,Josh Downs,WR,IND,TEN,11.5,4.4
13,Sam LaPorta,TE,DET,NO,11.9,29
13,Rashee Rice,WR,KC,GB,11,14.4
13,Chuba Hubbard,RB,CAR,TB,11.3,22.4
13,Curtis Samuel,WR,WAS,MIA,11.1,10.5
13,Jake Ferguson,TE,DAL,SEA,10.4,19.7
13,Will Levis,QB,TEN,IND,14.7,11.46
13,Devin Singletary,RB,HOU,DEN,11.1,5
13,Kyler Murray,QB,ARI,PIT,16.6,11.8
13,Trey McBride,TE,ARI,PIT,11.2,22.9
13,Jake Browning,QB,CIN,JAX,15.2,26.66
13,Zach Charbonnet,RB,SEA,DAL,13.9,16.9
