"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","season"
"B.Moorman",562,"P","BUF",11,61,61,4.41,36.62,41.16,7.6,0,0,4,17,4,55.2,17,62,10,0,42.6,197,26,61,269.1,2234,4,2511,2013
"S.Lechler",673,"P","HST",16,88,88,4.63,39.51,47.4,12.9,0,0,14,23,13,90.3,36,65,1,0,48.9,554,43,88,407.7,3477,7,4171,2013
"T.Brady",698,"QB","NE",1,1,1,3.6,32,32,NA,0,0,0,0,19,NA,0,32,0,0,0,0,0,1,3.6,32,0,32,2013
"D.Zastudil",1113,"P","ARZ",16,78,78,4.28,40.06,45.72,8.9,0,0,13,20,1,69,35,60,3,0,46.2,321,36,78,333.6,3125,6,3566,2013
"B.Cundiff",1230,"K","CLV",1,1,1,3.2,14,34,NA,0,0,0,0,8,60,0,34,0,0,0,0,0,1,3.2,14,1,34,2013
"M.Scifres",1458,"P","SD",18,66,66,4.6,39.59,43.68,9.2,0,0,11,22,27,76.4,35,62,6,0,37.9,230,25,66,303.9,2613,2,2883,2013
"M.McBriar",1659,"P","PIT",9,41,41,4.01,34.51,39.83,8.3,0,0,4,10,25,54.5,13,70,5,0,46.3,158,19,41,164.6,1415,3,1633,2013
"B.Roethlisberger",1732,"QB","PIT",1,1,1,2.5,28,28,NA,0,0,1,0,25,60,1,28,0,0,0,0,0,1,2.5,28,0,28,2013
"A.Lee",1906,"P","SF",19,88,88,4.44,40.94,47.36,8.9,0,0,10,22,28,72.8,33,62,3,0,46.6,365,41,88,390.3,3603,10,4168,2013
"D.Jones",1939,"P","PHI",17,87,87,4.28,40.82,45.11,8.5,0,0,19,22,24,63.4,36,70,8,0,34.5,254,30,88,372.3,3551,6,3925,2013
"M.Nugent",2264,"K","CIN",1,2,2,2.7,40,40,NA,0,0,2,0,7,58.8,0,43,0,0,0,0,0,2,5.4,80,0,80,2013
"D.Colquitt",2316,"P","KC",17,89,89,4.31,40.65,45.89,7,0,0,15,21,16,67.4,42,65,4,0,39.3,246,35,90,383.7,3618,11,4084,2013
"M.Koenen",2682,"P","TB",16,87,87,4.35,38.38,44.28,12.3,0,0,13,20,30,65.6,20,62,14,0,36.8,393,32,87,378.3,3339,6,3852,2013
"S.Gostkowski",3063,"K","NE",1,5,5,4.42,36.6,41.8,3,0,0,1,1,19,57.3,2,53,0,0,40,6,2,5,22.1,183,1,209,2013
"S.Koch",3148,"P","BLT",16,90,90,4.23,39.21,45.87,9.5,0,0,9,14,3,70.2,29,69,12,0,48.9,419,44,91,380.5,3529,9,4128,2013
"J.Ryan",3493,"P","SEA",19,83,83,4.48,40.05,42.35,4,0,0,20,33,29,64,33,69,2,0,27.7,91,23,85,371.5,3324,5,3515,2013
"S.Weatherford",3552,"P","NYG",16,91,91,4.19,38.19,46.93,13.7,0,0,7,17,21,68.4,25,68,11,1,52.7,656,48,91,381.4,3475,7,4271,2013
"A.Podlesh",3717,"P","CHI",15,68,68,4.11,38.41,40.63,7.9,0,0,15,25,6,53,29,65,11,0,20.6,111,14,69,279.4,2612,2,2763,2013
"B.Fields",3841,"P","MIA",16,85,85,4.12,42.39,48.82,9.5,0,0,9,13,17,70.8,32,74,14,0,50.6,407,43,85,350,3603,7,4150,2013
"S.Rocca",4274,"P","WAS",16,84,84,4.22,34.24,42.04,16.8,0,0,9,18,32,62.2,29,63,17,0,46.4,655,39,85,354.5,2876,0,3531,2013
"B.Kern",4580,"P","TEN",16,78,78,4.41,40.19,43.4,6,0,0,9,25,31,71,37,63,7,0,44.9,210,35,80,343.9,3135,2,3385,2013
"K.Huber",5066,"P","CIN",14,66,66,4.38,40.17,44.85,9.2,0,0,5,20,7,72.2,26,75,12,0,37.9,229,25,66,289.4,2651,4,2960,2013
"T.Morstead",5088,"P","NO",18,68,68,4.47,40.82,45.57,8.6,0,0,8,13,20,86.5,29,61,14,1,38.2,223,26,68,304,2776,5,3099,2013
"P.McAfee",5146,"P","IND",18,82,82,4.41,39.61,46.41,12.5,0,0,16,17,14,86.6,30,65,8,0,42.7,438,35,83,361.5,3248,6,3806,2013
"R.Succop",5180,"K","KC",1,1,1,2.4,9,29,NA,0,0,0,0,16,60,0,29,0,0,0,0,0,1,2.4,9,1,29,2013
